Name,Control,Region,Locale,AdmissionRate,UndergradPopulation,%White,%Black,%Hispanic,% sian,%AmericanIndian,%PacificIslander,%Biracial,%NonresidentAliens,AverageCost,CompletionRate150time,3YearDefaultRate,MedianDebtonGraduation,MedianDebtonWithdrawal,MedianFamilyIncome,PovertyRate,NumberofUnemployed8yearsafterentry,NumberofEmployed8yearsafterentry,MedianEarnings8yearsAfterEntry
Longwood University,Public,Southeast,Remote Town,0.8136,4357,0.7822,0.0778,0.0468,0.011,0.0028,0.0009,0.0351,0.0083,23707,0.6341,3.6,25327,11125,82459,6.4000001,65,1058,37500
Loras College,Private,Great Plains,Small City,0.6903,1521,0.8291,0.0224,0.0598,0.0079,0.002,0.0007,0.0151,0.025,37622,0.609,5.4,27000,8000,79300,4.67000008,43,643,38200
Louisiana College,Private,Southeast,Small Suburb,0.7423,1081,0.691,0.2276,0.0194,0.0093,0.0046,0.0009,0.0056,0.0287,22940,0.4251,10.9,22707,9201,49554.5,14.3999996,37,330,37800
Louisiana State University and Agricultural & Mechanical College,Public,Southeast,Fringe Rural,0.7623,23990,0.756,0.1112,0.0506,0.0343,0.0032,0.001,0.0234,0.017,20422,0.6914,4.3,19500,8250,52648,11.5799999,415,5035,42800
Louisiana State University-Alexandria,Public,Southeast,Fringe Rural,0.6074,1984,0.7525,0.1522,0.0383,0.0126,0.0141,0,0.0247,0.002,14276,0.138,12.2,17750,6500,25217,17.8899994,199,1145,29000
Louisiana State University-Shreveport,Public,Southeast,Mid-size City,0.8349,2796,0.6084,0.2157,0.0401,0.0172,0.0093,0.0007,0.0279,0.0243,15066,0.3255,10.5,20322,10500,28984,14.3599997,164,1032,32700
Louisiana Tech University,Public,Southeast,Distant Town,0.6744,7047,0.6823,0.1506,0.0139,0.0099,0.0048,0.0011,0.0145,0.0444,16983,0.4934,7.5,20984.5,8583,43568,14.5799999,277,2366,37500
Lourdes University,Private,Great Lakes,Large Suburb,0.6932,1747,0.6926,0.1654,0.0641,0.0097,0.0046,0.0023,0.0263,0.0023,27429,0.3592,15.9,32650,14250,30582.5,8.60999966,56,401,33200
Loyola Marymount University,Private,Far West,Large City,0.5412,6087,0.4894,0.0563,0.221,0.1045,0.0025,0.0013,0.0726,0.0524,55432,0.7583,3.9,22299.5,13562.5,76696,8.60000038,154,1450,49600
Loyola University Chicago,Private,Great Lakes,Large City,0.914,9931,0.6138,0.0354,0.1266,0.1131,0.001,0.0015,0.0575,0.03,47727,0.7101,4.6,25751,11000,67583.5,6.30000019,281,2324,45500
Loyola University Maryland,Private,Mid-Atlantic,Large City,0.58,3972,0.7941,0.0506,0.0921,0.0302,0.002,0.0005,0.0214,0.0038,56736,0.8437,2.9,27000,8490.5,112164,4.11999989,43,803,56400
Loyola University New Orleans,Private,Southeast,Large City,0.8707,2910,0.5127,0.1598,0.1581,0.0354,0.0058,0.0003,0.0357,0.032,46676,0.5486,5.3,26070,11250,72625,9.22000027,111,896,40500
Lubbock Christian University,Private,Southwest,Mid-size City,0.9489,1466,0.7156,0.0512,0.2012,0.0027,0.0075,0.0027,0,0.0191,28493,0.4125,10.2,24998,12500,49495,11.1300001,77,770,35800
Luther College,Private,Great Plains,Remote Town,0.7212,2388,0.8597,0.0155,0.0314,0.0163,0.0008,0,0.0168,0.059,46548,0.7602,3.2,27000,11500,90605,4.75,51,777,39900
Lycoming College,Private,Mid-Atlantic,Small City,0.7162,1288,0.7733,0.0536,0.0349,0.0062,0.0016,0.0008,0.0248,0.0411,44256,0.6391,6.6,27000,9500,75474,5.84000015,34,557,40600
Lynchburg College,Private,Southeast,Small City,0.6369,2140,0.7729,0.1093,0.0421,0.0126,0.0033,0.0005,0.0252,0.0112,41818,0.5619,4.8,27000,18000,77604,5.92999983,58,714,37000
Lyndon State College,Public,New England,Remote Town,0.9934,1363,0.8305,0.0308,0.044,0.0051,0.0073,0,0.0213,0.0066,19178,0.3506,12.5,26900,8535.5,56155,6.9000001,56,583,29700
Lynn University,Private,Southeast,Small City,0.776,1732,0.3915,0.101,0.1253,0.0162,0.0087,0.0012,0,0.2385,48735,0.4128,6.8,19500,8750,56163,6.30999994,82,448,34400
Macalester College,Private,Great Plains,Large City,0.3416,2029,0.6654,0.0266,0.0616,0.0705,0.001,0,0.0517,0.1232,55393,0.8742,1.6,23501.5,13717.5,85439.5,6.03000021,35,308,38900
Madonna University,Private,Great Lakes,Small City,0.6125,3080,0.6205,0.1302,0.036,0.0107,0.0026,0.0003,0.0185,0.1682,22629,0.4294,7.3,25000,18869,41119.5,6.63999987,143,817,36300
Malone University,Private,Great Lakes,Small City,0.7179,1571,0.8466,0.0751,0.0267,0.0083,0.0019,0.0019,0.021,0.0159,35213,0.5866,6.4,25500,12000,63498,6.53999996,75,768,36600
Manchester University,Private,Great Lakes,Distant Town,0.7116,1188,0.846,0.0354,0.048,0.0118,0.0025,0.0008,0.032,0.0202,38505,0.4873,6.5,27000,5500,74409.5,5.63999987,30,428,35900
